Date,NewCases,"Osoby z wynikiem neg. przy ponownym tescie, osoby zdublowane, osoby błędnie zaraportowane",Przyrost % nowych przypadków (od sumy potwerdzonych przypadków),Zmiana tygodniowa nowo wykrywanych przypadków w %,Przyrost % nowych przypadków (od aktywnych przypadków),Zmiana % liczby aktywnych przypadków (od aktywnych przypadków),Nowe zgony,Nowe wyzdrowienia,Zmiana liczby nieaktywnych przypadków,Zmiana liczby aktywnych przypadków,ActiveCases,Suma zgonów,Suma wyzdrowień,Liczba nieaktywnych przypadków,Liczba aktywnych przypadków,,% zgonów w przypadkach nieaktywnych,% wyzdrowień w przypadkach nieaktywnych,,% zgonów,% wyzdrowień,% nieaktywnych przypadków,% aktywnych przypadków
03.03,0,0,n/a,"800,00%",↓,,0,0,0,0,0,0,0,0,0,,↓,,,↓,,,
04.03,1,0,n/a,,,,0,0,0,1,1,0,0,0,1,,,,,,,,
05.03,0,0,n/a,,,,0,0,0,0,1,0,0,0,1,,,,,,,,
06.03,4,0,"400,00%",,,,0,0,0,4,5,0,0,0,5,,,,,,,,
07.03,1,0,"20,00%",,,,0,0,0,1,6,0,0,0,6,,,,,,,,
08.03,5,0,"83,33%",,,,0,0,0,5,11,0,0,0,11,,,,,,,,
09.03,6,0,"54,55%",,,,0,0,0,6,17,0,0,0,17,,,,,,,,
10.03,5,0,"29,41%",,,,0,0,0,5,22,0,0,0,22,,,,,,,,
11.03,9,0,"40,91%",,,,0,0,0,9,31,0,0,0,31,,,,,,,,
12.03,20,0,"64,52%",n/a,,,1,0,1,19,51,1,0,1,50,,,,,,,,
13.03,17,0,"33,33%","325,00%",,,1,0,1,16,68,2,0,2,66,,,,,,,,
14.03,36,0,"52,94%","3500,00%",,,1,0,1,35,104,3,0,3,101,,,,,,,,
15.03,21,0,"20,19%","320,00%",,,0,0,0,21,125,3,0,3,122,,,,,,,,
16.03,52,0,"41,60%","766,67%",,,1,0,1,51,177,4,0,4,173,,,,,,,,
17.03,61,0,"34,46%","1120,00%",,,1,1,2,59,238,5,1,6,232,,,,,,,,
18.03,49,0,"20,59%","444,44%",,,0,0,0,49,287,5,1,6,281,,,,,,,,
19.03,68,-2,"23,69%","240,00%",,,0,0,0,68,355,5,1,6,349,,,,,,,,
20.03,70,0,"19,72%","311,76%",,,0,0,0,70,425,5,1,6,419,,,,,,,,
21.03,111,0,"26,12%","208,33%",,,0,0,0,111,536,5,1,6,530,,,,,,,,
22.03,98,0,"18,28%","366,67%",,,2,0,2,96,634,7,1,8,626,,,,,,,,
23.03,115,-1,"18,14%","121,15%",,,1,0,1,114,749,8,1,9,740,,,,,,,,
24.03,152,0,"20,29%","149,18%",,,2,0,2,150,901,10,1,11,890,,,,,,,,
25.03,150,-1,"16,65%","206,12%",,,3,0,3,147,1051,13,1,14,1037,,,,,,,,
26.03,170,0,"16,18%","150,00%",,,3,0,3,167,1221,16,1,17,1204,,,,,,,,
27.03,168,0,"13,76%","140,00%",,,0,0,0,168,1389,16,1,17,1372,,,,,,,,
28.03,249,0,"17,93%","124,32%",,,2,0,2,247,1638,18,1,19,1619,,,,,,,,
29.03,224,0,"13,68%","128,57%",,,4,0,4,220,1862,22,1,23,1839,,,,,,,,
30.03,193,0,"10,37%","67,83%",,,9,0,9,184,2055,31,1,32,2023,,,,,,,,
31.03,256,0,"12,46%","68,42%",,,2,0,2,254,2311,33,1,34,2277,,,,,,,,
01.04,243,0,"10,51%","62,00%",,,10,0,10,233,2554,43,1,44,2510,,,,,,,,
02.04,392,0,"15,35%","130,59%",,,14,0,14,378,2946,57,1,58,2888,,,,,,,,
03.04,437,0,"14,83%","160,12%",,,14,0,14,423,3383,71,1,72,3311,,,,,,,,
04.04,244,0,"7,21%","-2,01%","7,37%","3,65%",8,115,123,121,3627,79,116,195,3432,,"40,51%","59,49%",,"2,18%","3,20%","5,38%","94,62%"
05.04,475,0,"13,10%","112,05%","13,84%","12,88%",15,18,33,442,4102,94,134,228,3874,,"41,23%","58,77%",,"2,29%","3,27%","5,56%","94,44%"
06.04,311,0,"7,58%","61,14%","8,03%","6,97%",13,28,41,270,4413,107,162,269,4144,,"39,78%","60,22%",,"2,42%","3,67%","6,10%","93,90%"
07.04,435,0,"9,86%","69,92%","10,50%","9,27%",22,29,51,384,4848,129,191,320,4528,,"40,31%","59,69%",,"2,66%","3,94%","6,60%","93,40%"
08.04,357,0,"7,36%","46,91%","7,88%","6,56%",29,31,60,297,5205,158,222,380,4825,,"41,58%","58,42%",,"3,04%","4,27%","7,30%","92,70%"
09.04,370,0,"7,11%","-5,61%","7,67%","6,05%",16,62,78,292,5575,174,284,458,5117,,"37,99%","62,01%",,"3,12%","5,09%","8,22%","91,78%"
10.04,380,0,"6,82%","-13,04%","7,43%","6,62%",7,34,41,339,5955,181,318,499,5456,,"36,27%","63,73%",,"3,04%","5,34%","8,38%","91,62%"
11.04,401,0,"6,73%","64,34%","7,35%","5,81%",27,57,84,317,6356,208,375,583,5773,,"35,68%","64,32%",,"3,27%","5,90%","9,17%","90,83%"
12.04,318,0,"5,00%","-33,05%","5,51%","3,98%",24,64,88,230,6674,232,439,671,6003,,"34,58%","65,42%",,"3,48%","6,58%","10,05%","89,95%"
13.04,258,-2,"3,87%","-17,04%","4,30%","3,28%",13,48,61,197,6932,245,487,732,6200,,"33,47%","66,53%",,"3,53%","7,03%","10,56%","89,44%"
14.04,270,0,"3,89%","-37,93%","4,35%","1,95%",18,131,149,121,7202,263,618,881,6321,,"29,85%","70,15%",,"3,65%","8,58%","12,23%","87,77%"
15.04,380,0,"5,28%","6,44%","6,01%","4,86%",23,50,73,307,7582,286,668,954,6628,,"29,98%","70,02%",,"3,77%","8,81%","12,58%","87,42%"
16.04,336,0,"4,43%","-9,19%","5,07%","3,05%",28,106,134,202,7918,314,774,1088,6830,,"28,86%","71,14%",,"3,97%","9,78%","13,74%","86,26%"
17.04,457,-4,"5,77%","20,26%","6,69%","5,08%",18,92,110,347,8375,332,866,1198,7177,,"27,71%","72,29%",,"3,96%","10,34%","14,30%","85,70%"
18.04,334,-29,"3,99%","-16,71%","4,65%","2,84%",15,115,130,204,8709,347,981,1328,7381,,"26,13%","73,87%",,"3,98%","11,26%","15,25%","84,75%"
19.04,515,-30,"5,91%","61,95%","6,98%","6,00%",13,59,72,443,9224,360,1040,1400,7824,,"25,71%","74,29%",,"3,90%","11,27%","15,18%","84,82%"
20.04,306,0,"3,32%","18,60%","3,91%","2,47%",20,93,113,193,9530,380,1133,1513,8017,,"25,12%","74,88%",,"3,99%","11,89%","15,88%","84,12%"
21.04,263,0,"2,76%","-2,59%","3,28%","0,99%",20,164,184,79,9793,400,1297,1697,8096,,"23,57%","76,43%",,"4,08%","13,24%","17,33%","82,67%"
